,Image ID,Cross section [nm^2],Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,21.7,0.912,11.78,4.85,384.0,0.25,0.0017421
1,0,13.4,0.882,,,,,
2,0,9.9,0.88,,,,,
3,0,9.0,0.876,,,,,
4,0,10.2,0.875,,,,,
5,0,6.9,0.873,,,,,
6,0,10.0,0.872,,,,,
7,0,14.7,0.867,,,,,
8,0,19.7,0.861,,,,,
9,0,6.4,0.85,,,,,
10,0,8.5,0.839,,,,,
11,0,11.6,0.839,,,,,
12,0,9.2,0.836,,,,,
13,0,3.6,0.817,,,,,
14,0,6.3,0.8,,,,,
15,0,6.0,0.753,,,,,
16,0,12.9,0.75,,,,,
17,0,9.4,0.736,,,,,
18,0,7.7,0.721,,,,,
19,1,20.3,0.917,,,,,
20,1,11.2,0.891,,,,,
21,1,9.0,0.885,,,,,
22,1,16.6,0.884,,,,,
23,1,12.4,0.88,,,,,
24,1,10.5,0.877,,,,,
25,1,10.3,0.874,,,,,
26,1,9.0,0.87,,,,,
27,1,9.9,0.866,,,,,
28,1,9.7,0.865,,,,,
29,1,20.2,0.865,,,,,
30,1,9.2,0.864,,,,,
31,1,13.1,0.856,,,,,
32,1,13.5,0.846,,,,,
33,1,10.5,0.844,,,,,
34,1,6.0,0.838,,,,,
35,1,10.8,0.837,,,,,
36,1,6.2,0.833,,,,,
37,1,11.0,0.818,,,,,
38,1,10.8,0.811,,,,,
39,1,5.9,0.586,,,,,
40,1,7.5,0.454,,,,,
41,2,20.6,0.851,,,,,
42,2,13.2,0.842,,,,,
43,2,9.0,0.829,,,,,
44,2,8.4,0.823,,,,,
45,2,5.9,0.819,,,,,
46,2,8.9,0.813,,,,,
47,2,8.3,0.801,,,,,
48,2,7.1,0.798,,,,,
49,2,5.8,0.794,,,,,
50,2,7.4,0.79,,,,,
51,2,7.3,0.775,,,,,
52,2,9.5,0.766,,,,,
53,2,10.2,0.759,,,,,
54,2,5.3,0.698,,,,,
55,2,5.4,0.647,,,,,
56,2,5.2,0.596,,,,,
57,3,20.6,0.895,,,,,
58,3,14.4,0.876,,,,,
59,3,23.2,0.862,,,,,
60,3,13.4,0.862,,,,,
61,3,20.2,0.858,,,,,
62,3,11.8,0.851,,,,,
63,3,12.5,0.84,,,,,
64,3,12.7,0.829,,,,,
65,3,14.1,0.817,,,,,
66,3,12.7,0.805,,,,,
67,3,24.7,0.802,,,,,
68,3,11.2,0.787,,,,,
69,3,7.9,0.756,,,,,
70,3,7.3,0.745,,,,,
71,3,7.9,0.591,,,,,
72,3,13.2,0.572,,,,,
73,4,17.4,0.872,,,,,
74,4,12.0,0.871,,,,,
75,4,9.9,0.866,,,,,
76,4,14.2,0.866,,,,,
77,4,21.9,0.864,,,,,
78,4,22.4,0.862,,,,,
79,4,8.6,0.854,,,,,
80,4,13.3,0.835,,,,,
81,4,19.1,0.832,,,,,
82,4,10.6,0.815,,,,,
83,4,23.6,0.81,,,,,
84,4,6.4,0.803,,,,,
85,4,6.5,0.802,,,,,
86,4,11.8,0.788,,,,,
87,4,9.2,0.784,,,,,
88,4,19.8,0.774,,,,,
89,4,9.5,0.726,,,,,
90,4,10.8,0.715,,,,,
91,4,10.3,0.607,,,,,
92,4,9.8,0.564,,,,,
93,4,7.1,0.523,,,,,
94,5,15.9,0.909,,,,,
95,5,13.9,0.888,,,,,
96,5,10.2,0.888,,,,,
97,5,11.7,0.877,,,,,
98,5,10.0,0.873,,,,,
99,5,12.6,0.87,,,,,
100,5,14.5,0.863,,,,,
101,5,15.5,0.859,,,,,
102,5,10.5,0.851,,,,,
103,5,11.7,0.848,,,,,
104,5,8.7,0.843,,,,,
105,5,14.3,0.833,,,,,
106,5,11.9,0.832,,,,,
107,5,11.2,0.808,,,,,
108,5,21.6,0.807,,,,,
109,5,10.7,0.738,,,,,
110,5,22.4,0.731,,,,,
111,5,3.7,0.687,,,,,
112,5,5.4,0.347,,,,,
113,6,13.0,0.883,,,,,
114,6,8.3,0.874,,,,,
115,6,10.3,0.874,,,,,
116,6,11.7,0.868,,,,,
117,6,8.7,0.868,,,,,
118,6,19.2,0.864,,,,,
119,6,11.7,0.846,,,,,
120,6,13.4,0.842,,,,,
121,6,14.7,0.841,,,,,
122,6,14.3,0.839,,,,,
123,6,17.8,0.838,,,,,
124,6,16.5,0.833,,,,,
125,6,9.4,0.817,,,,,
126,6,22.2,0.806,,,,,
127,6,5.4,0.773,,,,,
128,6,9.5,0.764,,,,,
129,6,21.5,0.761,,,,,
130,6,8.2,0.751,,,,,
131,6,3.8,0.72,,,,,
132,6,7.1,0.7,,,,,
133,6,18.1,0.693,,,,,
134,6,9.7,0.604,,,,,
135,6,5.0,0.416,,,,,
136,6,8.6,0.346,,,,,
137,7,17.7,0.906,,,,,
138,7,15.0,0.896,,,,,
139,7,13.5,0.884,,,,,
140,7,19.5,0.882,,,,,
141,7,8.7,0.877,,,,,
142,7,16.3,0.877,,,,,
143,7,10.3,0.876,,,,,
144,7,11.2,0.871,,,,,
145,7,11.8,0.868,,,,,
146,7,6.0,0.864,,,,,
147,7,15.9,0.86,,,,,
148,7,10.0,0.851,,,,,
149,7,10.3,0.847,,,,,
150,7,16.2,0.836,,,,,
151,7,9.9,0.835,,,,,
152,7,7.0,0.83,,,,,
153,7,6.4,0.814,,,,,
154,7,13.2,0.812,,,,,
155,7,9.3,0.773,,,,,
156,7,9.7,0.752,,,,,
157,7,10.1,0.745,,,,,
158,7,6.5,0.725,,,,,
159,7,9.1,0.716,,,,,
160,7,7.9,0.71,,,,,
161,7,4.8,0.394,,,,,
162,8,24.4,0.935,,,,,
163,8,15.5,0.896,,,,,
164,8,13.4,0.881,,,,,
165,8,8.6,0.868,,,,,
166,8,16.2,0.868,,,,,
167,8,6.5,0.862,,,,,
168,8,12.5,0.857,,,,,
169,8,14.9,0.851,,,,,
170,8,7.8,0.844,,,,,
171,8,33.7,0.842,,,,,
172,8,15.5,0.841,,,,,
173,8,11.4,0.839,,,,,
174,8,24.9,0.835,,,,,
175,8,6.0,0.785,,,,,
176,8,4.2,0.771,,,,,
177,8,21.9,0.738,,,,,
178,8,8.9,0.561,,,,,
179,8,4.4,0.34,,,,,
180,9,15.4,0.881,,,,,
181,9,6.5,0.879,,,,,
182,9,9.4,0.872,,,,,
183,9,12.9,0.871,,,,,
184,9,17.2,0.86,,,,,
185,9,9.1,0.856,,,,,
186,9,10.3,0.853,,,,,
187,9,8.7,0.845,,,,,
188,9,13.5,0.84,,,,,
189,9,10.5,0.817,,,,,
190,9,7.0,0.753,,,,,
191,9,11.6,0.748,,,,,
192,9,30.6,0.608,,,,,
193,9,10.0,0.583,,,,,
194,9,6.1,0.465,,,,,
195,9,6.4,0.349,,,,,
196,10,9.8,0.889,,,,,
197,10,15.0,0.874,,,,,
198,10,13.9,0.868,,,,,
199,10,20.0,0.867,,,,,
200,10,10.4,0.863,,,,,
201,10,14.4,0.86,,,,,
202,10,13.3,0.859,,,,,
203,10,13.7,0.855,,,,,
204,10,26.2,0.852,,,,,
205,10,10.7,0.851,,,,,
206,10,10.5,0.848,,,,,
207,10,13.5,0.848,,,,,
208,10,14.6,0.845,,,,,
209,10,22.0,0.844,,,,,
210,10,7.5,0.842,,,,,
211,10,11.1,0.839,,,,,
212,10,15.1,0.83,,,,,
213,10,12.6,0.803,,,,,
214,10,5.1,0.787,,,,,
215,10,11.6,0.783,,,,,
216,10,9.2,0.73,,,,,
217,10,10.5,0.698,,,,,
218,10,8.0,0.603,,,,,
219,10,7.2,0.318,,,,,
220,11,13.6,0.875,,,,,
221,11,14.8,0.874,,,,,
222,11,14.7,0.864,,,,,
223,11,10.0,0.86,,,,,
224,11,18.3,0.853,,,,,
225,11,14.8,0.85,,,,,
226,11,16.3,0.834,,,,,
227,11,10.3,0.833,,,,,
228,11,12.4,0.825,,,,,
229,11,15.1,0.824,,,,,
230,11,14.9,0.823,,,,,
231,11,12.7,0.811,,,,,
232,11,13.8,0.785,,,,,
233,11,3.9,0.752,,,,,
234,11,11.5,0.714,,,,,
235,11,12.5,0.671,,,,,
236,11,15.5,0.665,,,,,
237,11,15.1,0.424,,,,,
238,12,11.2,0.907,,,,,
239,12,19.0,0.888,,,,,
240,12,24.2,0.884,,,,,
241,12,19.3,0.874,,,,,
242,12,15.0,0.869,,,,,
243,12,16.5,0.867,,,,,
244,12,15.4,0.858,,,,,
245,12,19.1,0.851,,,,,
246,12,9.8,0.844,,,,,
247,12,16.6,0.838,,,,,
248,12,8.6,0.83,,,,,
249,12,15.4,0.825,,,,,
250,12,5.2,0.803,,,,,
251,12,8.6,0.758,,,,,
252,12,6.5,0.711,,,,,
253,12,10.7,0.689,,,,,
254,12,5.7,0.381,,,,,
255,12,8.0,0.339,,,,,
256,13,8.2,0.884,,,,,
257,13,13.2,0.874,,,,,
258,13,12.6,0.874,,,,,
259,13,9.7,0.873,,,,,
260,13,8.0,0.871,,,,,
261,13,16.8,0.867,,,,,
262,13,11.1,0.864,,,,,
263,13,9.6,0.862,,,,,
264,13,10.3,0.861,,,,,
265,13,21.2,0.859,,,,,
266,13,11.9,0.858,,,,,
267,13,10.5,0.856,,,,,
268,13,6.0,0.854,,,,,
269,13,6.5,0.853,,,,,
270,13,19.5,0.852,,,,,
271,13,12.3,0.851,,,,,
272,13,6.8,0.851,,,,,
273,13,8.9,0.848,,,,,
274,13,14.6,0.835,,,,,
275,13,11.6,0.835,,,,,
276,13,9.1,0.82,,,,,
277,13,12.6,0.816,,,,,
278,13,11.9,0.63,,,,,
279,14,16.6,0.904,,,,,
280,14,7.8,0.887,,,,,
281,14,11.5,0.867,,,,,
282,14,22.7,0.864,,,,,
283,14,7.9,0.862,,,,,
284,14,5.5,0.852,,,,,
285,14,19.7,0.852,,,,,
286,14,10.0,0.85,,,,,
287,14,18.3,0.849,,,,,
288,14,9.4,0.847,,,,,
289,14,7.3,0.845,,,,,
290,14,14.0,0.845,,,,,
291,14,9.1,0.844,,,,,
292,14,13.4,0.843,,,,,
293,14,16.5,0.84,,,,,
294,14,10.3,0.828,,,,,
295,14,13.4,0.818,,,,,
296,14,15.7,0.811,,,,,
297,14,7.6,0.802,,,,,
298,14,9.2,0.789,,,,,
299,14,11.3,0.739,,,,,
300,14,4.8,0.714,,,,,
301,14,9.1,0.706,,,,,
302,14,2.2,0.681,,,,,
303,15,20.3,0.888,,,,,
304,15,10.4,0.888,,,,,
305,15,7.5,0.885,,,,,
306,15,7.4,0.883,,,,,
307,15,8.7,0.874,,,,,
308,15,6.1,0.872,,,,,
309,15,9.1,0.87,,,,,
310,15,6.3,0.87,,,,,
311,15,14.0,0.87,,,,,
312,15,6.4,0.867,,,,,
313,15,11.9,0.867,,,,,
314,15,11.6,0.864,,,,,
315,15,7.4,0.853,,,,,
316,15,9.6,0.853,,,,,
317,15,10.8,0.852,,,,,
318,15,7.7,0.852,,,,,
319,15,5.6,0.852,,,,,
320,15,8.1,0.828,,,,,
321,15,11.3,0.818,,,,,
322,15,5.7,0.814,,,,,
323,15,10.5,0.801,,,,,
324,16,13.6,0.879,,,,,
325,16,13.0,0.876,,,,,
326,16,11.7,0.872,,,,,
327,16,16.6,0.871,,,,,
328,16,10.0,0.869,,,,,
329,16,7.0,0.859,,,,,
330,16,9.1,0.854,,,,,
331,16,8.0,0.854,,,,,
332,16,20.0,0.851,,,,,
333,16,11.8,0.851,,,,,
334,16,9.8,0.847,,,,,
335,16,8.8,0.839,,,,,
336,16,12.4,0.836,,,,,
337,16,12.2,0.789,,,,,
338,16,13.0,0.768,,,,,
339,16,6.7,0.75,,,,,
340,16,4.1,0.691,,,,,
341,16,5.5,0.469,,,,,
342,17,7.2,0.879,,,,,
343,17,15.9,0.879,,,,,
344,17,13.5,0.877,,,,,
345,17,11.5,0.868,,,,,
346,17,10.2,0.863,,,,,
347,17,8.8,0.852,,,,,
348,17,13.8,0.847,,,,,
349,17,6.7,0.843,,,,,
350,17,12.0,0.841,,,,,
351,17,9.6,0.822,,,,,
352,17,17.0,0.821,,,,,
353,17,16.1,0.802,,,,,
354,17,5.5,0.529,,,,,
355,17,10.3,0.522,,,,,
356,17,4.5,0.422,,,,,
357,17,25.1,0.398,,,,,
358,18,19.0,0.897,,,,,
359,18,15.5,0.895,,,,,
360,18,11.7,0.883,,,,,
361,18,22.4,0.88,,,,,
362,18,14.1,0.872,,,,,
363,18,11.5,0.872,,,,,
364,18,8.1,0.87,,,,,
365,18,10.5,0.867,,,,,
366,18,7.6,0.861,,,,,
367,18,12.4,0.857,,,,,
368,18,8.2,0.856,,,,,
369,18,18.3,0.855,,,,,
370,18,15.6,0.854,,,,,
371,18,12.6,0.853,,,,,
372,18,14.4,0.851,,,,,
373,18,12.6,0.849,,,,,
374,18,9.1,0.843,,,,,
375,18,11.5,0.839,,,,,
376,18,7.1,0.819,,,,,
377,18,6.5,0.809,,,,,
378,18,9.3,0.796,,,,,
379,18,13.1,0.756,,,,,
380,18,8.9,0.751,,,,,
381,18,14.0,0.712,,,,,
382,18,6.8,0.604,,,,,
383,18,11.1,0.531,,,,,
