,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,5.8,5.6,0.871,7.02,2.85,614.0,0.12,0.0017239
1,0,4.6,6.7,0.87,,,,,0.0010343
2,0,4.8,5.5,0.861,,,,,0.0017239
3,0,3.9,6.4,0.854,,,,,0.0013791
4,0,6.4,7.5,0.847,,,,,0.0016377
5,0,6.8,6.3,0.831,,,,,0.0016377
6,0,5.6,6.8,0.827,,,,,0.0012929
7,0,5.7,8.1,0.826,,,,,0.000862
8,0,5.1,7.3,0.818,,,,,0.0017239
9,0,3.1,6.8,0.818,,,,,0.0012067
10,0,5.9,7.2,0.815,,,,,0.0011205
11,0,5.7,7.0,0.802,,,,,0.0013791
12,0,3.7,8.1,0.785,,,,,0.0014653
13,0,6.1,6.9,0.778,,,,,0.0009481
14,0,5.5,7.9,0.751,,,,,0.0012929
15,0,8.5,7.7,0.722,,,,,0.0009481
16,0,4.1,6.7,0.722,,,,,0.0006034
17,0,8.5,6.9,0.705,,,,,0.0012929
18,0,8.5,7.3,0.636,,,,,0.0009481
19,0,4.4,8.2,0.63,,,,,0.0013791
20,1,6.9,7.6,0.85,,,,,0.0011205
21,1,4.6,7.1,0.846,,,,,0.0012067
22,1,6.7,6.7,0.838,,,,,0.0020687
23,1,4.7,7.6,0.834,,,,,0.0017239
24,1,14.8,8.4,0.832,,,,,0.0014653
25,1,7.4,7.7,0.827,,,,,0.0018101
26,1,2.8,9.6,0.796,,,,,0.0014653
27,1,10.5,7.9,0.791,,,,,0.0016377
28,1,3.0,9.1,0.782,,,,,0.0010343
29,1,5.9,6.6,0.694,,,,,0.0012067
30,1,4.6,6.3,0.65,,,,,0.0016377
31,1,8.4,5.6,0.639,,,,,0.0017239
32,2,7.4,6.3,0.856,,,,,0.0013791
33,2,6.7,6.5,0.853,,,,,0.0010343
34,2,6.9,6.6,0.851,,,,,0.0012929
35,2,5.0,6.5,0.851,,,,,0.0009481
36,2,7.1,5.9,0.843,,,,,0.0010343
37,2,5.8,5.8,0.84,,,,,0.0018101
38,2,6.9,6.4,0.821,,,,,0.0017239
39,2,5.8,,0.809,,,,,
40,2,6.7,,0.801,,,,,
41,2,5.0,,0.798,,,,,
42,2,4.4,,0.788,,,,,
43,2,4.9,,0.782,,,,,
44,2,3.8,,0.766,,,,,
45,2,4.5,,0.766,,,,,
46,2,4.2,,0.761,,,,,
47,2,2.7,,0.712,,,,,
48,2,8.2,,0.701,,,,,
49,2,3.3,,0.694,,,,,
50,2,3.1,,0.644,,,,,
51,2,7.0,,0.613,,,,,
52,3,11.0,,0.868,,,,,
53,3,6.4,,0.853,,,,,
54,3,10.7,,0.844,,,,,
55,3,5.7,,0.838,,,,,
56,3,5.2,,0.834,,,,,
57,3,5.9,,0.823,,,,,
58,3,5.6,,0.821,,,,,
59,3,2.9,,0.809,,,,,
60,3,5.0,,0.798,,,,,
61,3,7.7,,0.798,,,,,
62,3,4.5,,0.766,,,,,
63,3,4.5,,0.765,,,,,
64,3,7.9,,0.707,,,,,
65,3,7.9,,0.703,,,,,
66,3,4.9,,0.691,,,,,
67,3,6.8,,0.684,,,,,
68,4,6.4,,0.868,,,,,
69,4,13.1,,0.864,,,,,
70,4,11.4,,0.861,,,,,
71,4,9.6,,0.855,,,,,
72,4,8.5,,0.844,,,,,
73,4,5.1,,0.844,,,,,
74,4,6.6,,0.841,,,,,
75,4,9.1,,0.838,,,,,
76,4,6.7,,0.83,,,,,
77,4,7.4,,0.828,,,,,
78,4,8.6,,0.824,,,,,
79,4,5.0,,0.82,,,,,
80,4,5.4,,0.786,,,,,
81,4,7.7,,0.783,,,,,
82,4,5.2,,0.764,,,,,
83,4,7.1,,0.716,,,,,
84,4,4.4,,0.693,,,,,
85,4,4.1,,0.657,,,,,
86,4,10.4,,0.633,,,,,
87,5,11.6,,0.868,,,,,
88,5,5.6,,0.851,,,,,
89,5,8.3,,0.838,,,,,
90,5,4.6,,0.837,,,,,
91,5,4.0,,0.836,,,,,
92,5,8.5,,0.835,,,,,
93,5,6.4,,0.829,,,,,
94,5,5.8,,0.823,,,,,
95,5,6.3,,0.819,,,,,
96,5,9.1,,0.779,,,,,
97,5,5.9,,0.777,,,,,
98,5,3.1,,0.775,,,,,
99,5,5.1,,0.773,,,,,
100,5,7.4,,0.763,,,,,
101,5,6.3,,0.751,,,,,
102,5,5.4,,0.721,,,,,
103,5,6.2,,0.715,,,,,
104,5,4.9,,0.706,,,,,
105,5,4.4,,0.701,,,,,
106,6,2.7,,0.854,,,,,
107,6,8.5,,0.84,,,,,
108,6,11.1,,0.837,,,,,
109,6,10.1,,0.832,,,,,
110,6,8.1,,0.83,,,,,
111,6,7.3,,0.814,,,,,
112,6,6.8,,0.8,,,,,
113,6,4.3,,0.78,,,,,
114,6,6.1,,0.776,,,,,
115,6,7.5,,0.759,,,,,
116,6,3.7,,0.697,,,,,
117,6,5.2,,0.696,,,,,
118,6,6.2,,0.663,,,,,
119,6,9.3,,0.655,,,,,
120,6,5.4,,0.641,,,,,
121,7,9.6,,0.835,,,,,
122,7,17.7,,0.834,,,,,
123,7,5.6,,0.83,,,,,
124,7,7.0,,0.792,,,,,
125,7,6.0,,0.791,,,,,
126,7,9.1,,0.786,,,,,
127,7,6.6,,0.768,,,,,
128,7,4.2,,0.76,,,,,
129,7,7.0,,0.711,,,,,
130,7,7.9,,0.7,,,,,
131,8,8.4,,0.853,,,,,
132,8,10.5,,0.849,,,,,
133,8,8.4,,0.847,,,,,
134,8,9.4,,0.845,,,,,
135,8,7.1,,0.84,,,,,
136,8,8.4,,0.838,,,,,
137,8,7.9,,0.822,,,,,
138,8,7.8,,0.807,,,,,
139,8,6.8,,0.804,,,,,
140,8,4.1,,0.782,,,,,
141,8,8.6,,0.777,,,,,
142,8,5.0,,0.749,,,,,
143,8,6.2,,0.735,,,,,
144,8,3.7,,0.73,,,,,
145,8,11.6,,0.729,,,,,
146,8,8.6,,0.705,,,,,
147,8,4.1,,0.676,,,,,
148,8,7.6,,0.664,,,,,
149,8,6.9,,0.637,,,,,
150,8,5.0,,0.632,,,,,
151,9,11.0,,0.874,,,,,
152,9,6.6,,0.859,,,,,
153,9,8.7,,0.853,,,,,
154,9,8.0,,0.85,,,,,
155,9,10.3,,0.846,,,,,
156,9,5.8,,0.84,,,,,
157,9,6.7,,0.835,,,,,
158,9,4.0,,0.819,,,,,
159,9,8.0,,0.805,,,,,
160,9,4.2,,0.773,,,,,
161,9,4.2,,0.766,,,,,
162,9,5.4,,0.747,,,,,
163,9,7.1,,0.743,,,,,
164,9,5.4,,0.662,,,,,
165,10,9.0,,0.856,,,,,
166,10,10.6,,0.838,,,,,
167,10,7.6,,0.837,,,,,
168,10,6.5,,0.836,,,,,
169,10,7.0,,0.83,,,,,
170,10,11.4,,0.827,,,,,
171,10,4.1,,0.826,,,,,
172,10,4.8,,0.824,,,,,
173,10,7.7,,0.793,,,,,
174,10,6.8,,0.792,,,,,
175,10,7.5,,0.721,,,,,
176,10,5.0,,0.718,,,,,
177,10,5.6,,0.701,,,,,
178,11,11.6,,0.863,,,,,
179,11,6.3,,0.845,,,,,
180,11,9.2,,0.842,,,,,
181,11,8.2,,0.834,,,,,
182,11,7.9,,0.832,,,,,
183,11,6.8,,0.827,,,,,
184,11,8.4,,0.826,,,,,
185,11,4.7,,0.814,,,,,
186,11,6.3,,0.808,,,,,
187,11,8.5,,0.805,,,,,
188,11,7.0,,0.798,,,,,
189,11,4.0,,0.774,,,,,
190,11,3.7,,0.745,,,,,
191,11,7.4,,0.734,,,,,
192,11,6.3,,0.728,,,,,
193,11,5.2,,0.652,,,,,
194,12,12.3,,0.872,,,,,
195,12,9.1,,0.856,,,,,
196,12,7.0,,0.845,,,,,
197,12,10.9,,0.84,,,,,
198,12,7.8,,0.816,,,,,
199,12,13.3,,0.815,,,,,
200,12,8.5,,0.807,,,,,
201,12,5.6,,0.803,,,,,
202,12,3.9,,0.788,,,,,
203,12,9.9,,0.786,,,,,
204,12,7.8,,0.758,,,,,
205,12,2.2,,0.746,,,,,
206,12,5.5,,0.726,,,,,
207,12,13.2,,0.703,,,,,
208,12,5.6,,0.693,,,,,
209,12,7.7,,0.616,,,,,
210,12,7.5,,0.605,,,,,
211,13,15.0,,0.859,,,,,
212,13,6.6,,0.849,,,,,
213,13,4.5,,0.841,,,,,
214,13,8.7,,0.823,,,,,
215,13,3.6,,0.821,,,,,
216,13,6.8,,0.812,,,,,
217,13,5.2,,0.783,,,,,
218,13,7.9,,0.764,,,,,
219,13,5.6,,0.762,,,,,
220,13,9.0,,0.729,,,,,
221,13,2.5,,0.667,,,,,
222,14,10.1,,0.864,,,,,
223,14,15.1,,0.861,,,,,
224,14,5.9,,0.853,,,,,
225,14,7.9,,0.85,,,,,
226,14,18.8,,0.849,,,,,
227,14,2.7,,0.84,,,,,
228,14,5.1,,0.821,,,,,
229,14,6.3,,0.812,,,,,
230,14,5.9,,0.79,,,,,
231,14,8.3,,0.758,,,,,
232,14,7.0,,0.754,,,,,
233,14,6.5,,0.74,,,,,
234,14,6.4,,0.734,,,,,
235,14,4.8,,0.716,,,,,
236,14,7.5,,0.657,,,,,
237,15,12.8,,0.855,,,,,
238,15,7.8,,0.836,,,,,
239,15,11.0,,0.83,,,,,
240,15,7.2,,0.824,,,,,
241,15,5.2,,0.82,,,,,
242,15,5.3,,0.809,,,,,
243,15,10.1,,0.781,,,,,
244,15,9.8,,0.736,,,,,
245,15,2.7,,0.73,,,,,
246,15,8.0,,0.682,,,,,
247,15,4.8,,0.646,,,,,
248,16,7.7,,0.856,,,,,
249,16,9.5,,0.811,,,,,
250,16,4.4,,0.781,,,,,
251,16,4.1,,0.742,,,,,
252,16,5.6,,0.741,,,,,
253,16,7.7,,0.737,,,,,
254,16,7.8,,0.73,,,,,
255,17,6.2,,0.839,,,,,
256,17,5.3,,0.839,,,,,
257,17,12.6,,0.811,,,,,
258,17,8.6,,0.809,,,,,
259,17,14.8,,0.805,,,,,
260,17,3.8,,0.792,,,,,
261,17,6.8,,0.761,,,,,
262,17,8.8,,0.759,,,,,
263,17,3.5,,0.758,,,,,
264,17,7.2,,0.748,,,,,
265,17,4.1,,0.734,,,,,
266,17,8.0,,0.709,,,,,
267,17,4.3,,0.671,,,,,
268,17,2.5,,0.656,,,,,
269,17,7.5,,0.647,,,,,
270,18,6.5,,0.836,,,,,
271,18,11.7,,0.824,,,,,
272,18,7.9,,0.815,,,,,
273,18,10.2,,0.779,,,,,
274,18,5.9,,0.765,,,,,
275,18,14.1,,0.758,,,,,
276,18,4.5,,0.705,,,,,
277,18,3.6,,0.684,,,,,
278,18,5.2,,0.664,,,,,
279,18,4.8,,0.652,,,,,
280,18,6.4,,0.633,,,,,
281,19,13.1,,0.893,,,,,
282,19,6.2,,0.848,,,,,
283,19,11.5,,0.847,,,,,
284,19,5.6,,0.838,,,,,
285,19,10.7,,0.83,,,,,
286,19,8.7,,0.824,,,,,
287,19,13.5,,0.813,,,,,
288,19,9.3,,0.796,,,,,
289,19,6.8,,0.795,,,,,
290,19,8.3,,0.783,,,,,
291,19,5.2,,0.77,,,,,
292,19,7.7,,0.769,,,,,
293,19,6.0,,0.729,,,,,
294,19,8.5,,0.723,,,,,
295,19,5.0,,0.7,,,,,
296,19,5.2,,0.622,,,,,
297,20,7.4,,0.856,,,,,
298,20,5.2,,0.849,,,,,
299,20,8.0,,0.842,,,,,
300,20,9.5,,0.825,,,,,
301,20,6.3,,0.821,,,,,
302,20,5.1,,0.812,,,,,
303,20,5.7,,0.81,,,,,
304,20,6.2,,0.785,,,,,
305,20,8.0,,0.726,,,,,
306,20,7.7,,0.725,,,,,
307,20,7.0,,0.722,,,,,
308,20,16.8,,0.656,,,,,
309,20,6.2,,0.656,,,,,
310,21,15.1,,0.877,,,,,
311,21,10.9,,0.851,,,,,
312,21,5.8,,0.817,,,,,
313,21,3.8,,0.797,,,,,
314,21,9.9,,0.791,,,,,
315,21,4.7,,0.781,,,,,
316,21,6.9,,0.775,,,,,
317,21,5.5,,0.762,,,,,
318,21,5.3,,0.732,,,,,
319,21,7.2,,0.712,,,,,
320,21,5.6,,0.704,,,,,
321,21,6.2,,0.697,,,,,
322,21,3.8,,0.665,,,,,
323,21,8.1,,0.656,,,,,
324,22,9.4,,0.858,,,,,
325,22,9.3,,0.853,,,,,
326,22,11.6,,0.853,,,,,
327,22,5.9,,0.842,,,,,
328,22,5.1,,0.834,,,,,
329,22,5.6,,0.83,,,,,
330,22,8.1,,0.817,,,,,
331,22,10.4,,0.81,,,,,
332,22,6.7,,0.794,,,,,
333,22,7.2,,0.788,,,,,
334,22,4.2,,0.767,,,,,
335,22,4.5,,0.764,,,,,
336,22,7.4,,0.761,,,,,
337,22,6.2,,0.74,,,,,
338,22,7.0,,0.729,,,,,
339,22,4.2,,0.722,,,,,
340,22,8.0,,0.714,,,,,
341,22,3.3,,0.713,,,,,
342,22,7.2,,0.696,,,,,
343,22,4.7,,0.68,,,,,
344,22,8.6,,0.668,,,,,
345,22,4.9,,0.666,,,,,
346,22,6.3,,0.666,,,,,
347,22,5.4,,0.656,,,,,
348,23,9.9,,0.879,,,,,
349,23,13.4,,0.871,,,,,
350,23,9.3,,0.853,,,,,
351,23,10.7,,0.851,,,,,
352,23,5.6,,0.851,,,,,
353,23,13.0,,0.843,,,,,
354,23,8.4,,0.826,,,,,
355,23,10.1,,0.825,,,,,
356,23,7.0,,0.815,,,,,
357,23,4.3,,0.811,,,,,
358,23,8.1,,0.806,,,,,
359,23,5.7,,0.791,,,,,
360,23,8.2,,0.773,,,,,
361,23,3.4,,0.759,,,,,
362,23,5.0,,0.728,,,,,
363,23,9.6,,0.718,,,,,
364,23,6.1,,0.717,,,,,
365,23,6.0,,0.688,,,,,
366,23,3.6,,0.688,,,,,
367,23,4.8,,0.659,,,,,
368,24,12.7,,0.879,,,,,
369,24,11.8,,0.878,,,,,
370,24,10.0,,0.843,,,,,
371,24,7.8,,0.829,,,,,
372,24,10.9,,0.818,,,,,
373,24,5.4,,0.758,,,,,
374,24,19.5,,0.72,,,,,
375,24,5.9,,0.711,,,,,
376,24,5.5,,0.705,,,,,
377,24,4.9,,0.703,,,,,
378,24,5.8,,0.685,,,,,
379,24,8.6,,0.681,,,,,
380,24,6.8,,0.672,,,,,
381,24,7.5,,0.669,,,,,
382,24,6.5,,0.661,,,,,
383,24,9.2,,0.611,,,,,
384,24,3.4,,0.603,,,,,
385,25,9.2,,0.86,,,,,
386,25,10.1,,0.856,,,,,
387,25,13.2,,0.854,,,,,
388,25,6.6,,0.831,,,,,
389,25,13.7,,0.82,,,,,
390,25,10.9,,0.811,,,,,
391,25,2.8,,0.807,,,,,
392,25,12.7,,0.8,,,,,
393,25,6.5,,0.79,,,,,
394,25,6.0,,0.774,,,,,
395,25,5.2,,0.757,,,,,
396,25,4.8,,0.741,,,,,
397,25,5.0,,0.732,,,,,
398,25,5.1,,0.726,,,,,
399,25,7.0,,0.719,,,,,
400,25,8.6,,0.678,,,,,
401,25,7.5,,0.677,,,,,
402,25,3.4,,0.673,,,,,
403,25,7.0,,0.671,,,,,
404,25,12.3,,0.669,,,,,
405,25,3.4,,0.668,,,,,
406,26,13.4,,0.857,,,,,
407,26,12.7,,0.856,,,,,
408,26,10.3,,0.831,,,,,
409,26,12.0,,0.827,,,,,
410,26,7.8,,0.82,,,,,
411,26,1.8,,0.819,,,,,
412,26,16.6,,0.819,,,,,
413,26,2.6,,0.811,,,,,
414,26,16.0,,0.8,,,,,
415,26,10.6,,0.798,,,,,
416,26,4.3,,0.779,,,,,
417,26,21.2,,0.701,,,,,
418,26,4.1,,0.673,,,,,
419,26,11.5,,0.67,,,,,
420,26,4.5,,0.647,,,,,
421,26,10.9,,0.642,,,,,
422,26,3.7,,0.605,,,,,
423,27,8.7,,0.815,,,,,
424,27,9.3,,0.806,,,,,
425,27,9.4,,0.794,,,,,
426,27,11.7,,0.79,,,,,
427,27,5.2,,0.787,,,,,
428,27,7.6,,0.784,,,,,
429,27,11.2,,0.779,,,,,
430,27,6.4,,0.738,,,,,
431,27,10.5,,0.722,,,,,
432,27,12.2,,0.714,,,,,
433,27,3.9,,0.694,,,,,
434,27,10.3,,0.682,,,,,
435,27,4.3,,0.672,,,,,
436,27,10.7,,0.666,,,,,
437,27,5.6,,0.643,,,,,
438,27,3.2,,0.635,,,,,
439,27,8.9,,0.627,,,,,
440,27,5.9,,0.616,,,,,
441,27,6.1,,0.613,,,,,
442,28,12.5,,0.852,,,,,
443,28,6.6,,0.842,,,,,
444,28,12.0,,0.825,,,,,
445,28,11.3,,0.813,,,,,
446,28,10.7,,0.786,,,,,
447,28,7.9,,0.778,,,,,
448,28,11.0,,0.746,,,,,
449,28,2.6,,0.729,,,,,
450,28,8.2,,0.705,,,,,
451,28,10.1,,0.696,,,,,
452,28,8.9,,0.696,,,,,
453,28,7.9,,0.682,,,,,
454,29,8.6,,0.84,,,,,
455,29,7.7,,0.836,,,,,
456,29,7.4,,0.833,,,,,
457,29,7.4,,0.822,,,,,
458,29,8.5,,0.817,,,,,
459,29,2.7,,0.8,,,,,
460,29,9.4,,0.8,,,,,
461,29,5.3,,0.792,,,,,
462,29,7.2,,0.769,,,,,
463,29,5.2,,0.758,,,,,
464,29,3.7,,0.693,,,,,
465,29,5.2,,0.683,,,,,
466,29,4.8,,0.645,,,,,
467,29,9.6,,0.625,,,,,
468,30,6.9,,0.86,,,,,
469,30,7.7,,0.859,,,,,
470,30,7.6,,0.857,,,,,
471,30,7.3,,0.856,,,,,
472,30,6.0,,0.837,,,,,
473,30,5.8,,0.832,,,,,
474,30,5.6,,0.824,,,,,
475,30,6.1,,0.821,,,,,
476,30,4.7,,0.817,,,,,
477,30,6.5,,0.815,,,,,
478,30,6.5,,0.808,,,,,
479,30,4.9,,0.803,,,,,
480,30,5.4,,0.761,,,,,
481,30,6.2,,0.735,,,,,
482,30,3.8,,0.71,,,,,
483,30,3.6,,0.69,,,,,
484,30,17.6,,0.688,,,,,
485,30,3.8,,0.681,,,,,
486,30,3.8,,0.667,,,,,
487,31,5.3,,0.865,,,,,
488,31,5.4,,0.863,,,,,
489,31,10.7,,0.859,,,,,
490,31,6.3,,0.854,,,,,
491,31,7.9,,0.852,,,,,
492,31,4.8,,0.846,,,,,
493,31,6.6,,0.842,,,,,
494,31,6.4,,0.839,,,,,
495,31,5.8,,0.829,,,,,
496,31,5.7,,0.825,,,,,
497,31,5.3,,0.822,,,,,
498,31,8.1,,0.818,,,,,
499,31,4.7,,0.802,,,,,
500,31,4.1,,0.785,,,,,
501,31,3.2,,0.76,,,,,
502,31,2.9,,0.746,,,,,
503,31,7.5,,0.667,,,,,
504,31,3.9,,0.653,,,,,
505,31,4.7,,0.643,,,,,
506,31,2.7,,0.625,,,,,
507,32,7.2,,0.843,,,,,
508,32,6.4,,0.841,,,,,
509,32,7.8,,0.831,,,,,
510,32,8.9,,0.83,,,,,
511,32,5.6,,0.822,,,,,
512,32,5.6,,0.811,,,,,
513,32,6.7,,0.805,,,,,
514,32,9.4,,0.804,,,,,
515,32,6.6,,0.803,,,,,
516,32,5.2,,0.783,,,,,
517,32,5.1,,0.774,,,,,
518,32,4.5,,0.771,,,,,
519,32,4.2,,0.77,,,,,
520,32,5.0,,0.754,,,,,
521,32,5.6,,0.675,,,,,
522,32,6.8,,0.615,,,,,
523,33,7.3,,0.866,,,,,
524,33,7.9,,0.851,,,,,
525,33,8.8,,0.847,,,,,
526,33,7.3,,0.835,,,,,
527,33,5.3,,0.83,,,,,
528,33,5.9,,0.819,,,,,
529,33,5.0,,0.818,,,,,
530,33,7.3,,0.806,,,,,
531,33,6.4,,0.805,,,,,
532,33,3.4,,0.774,,,,,
533,33,4.3,,0.771,,,,,
534,33,9.5,,0.741,,,,,
535,34,9.5,,0.862,,,,,
536,34,7.4,,0.853,,,,,
537,34,8.9,,0.834,,,,,
538,34,6.1,,0.833,,,,,
539,34,8.4,,0.828,,,,,
540,34,7.9,,0.812,,,,,
541,34,6.8,,0.811,,,,,
542,34,6.2,,0.796,,,,,
543,34,7.0,,0.78,,,,,
544,34,4.8,,0.76,,,,,
545,34,5.7,,0.759,,,,,
546,34,6.6,,0.729,,,,,
547,34,3.6,,0.724,,,,,
548,34,6.7,,0.712,,,,,
549,34,3.9,,0.707,,,,,
550,35,10.2,,0.86,,,,,
551,35,13.3,,0.859,,,,,
552,35,5.3,,0.842,,,,,
553,35,5.5,,0.826,,,,,
554,35,11.8,,0.809,,,,,
555,35,5.0,,0.805,,,,,
556,35,4.5,,0.798,,,,,
557,35,4.0,,0.797,,,,,
558,35,3.2,,0.786,,,,,
559,35,5.7,,0.743,,,,,
560,35,2.5,,0.691,,,,,
561,36,5.8,,0.842,,,,,
562,36,6.7,,0.817,,,,,
563,36,5.9,,0.813,,,,,
564,36,4.2,,0.796,,,,,
565,36,6.6,,0.756,,,,,
566,36,11.4,,0.743,,,,,
567,36,5.4,,0.691,,,,,
568,36,3.9,,0.691,,,,,
569,36,5.4,,0.659,,,,,
570,36,4.8,,0.658,,,,,
571,36,6.6,,0.625,,,,,
572,36,4.2,,0.61,,,,,
573,37,9.8,,0.858,,,,,
574,37,9.1,,0.856,,,,,
575,37,9.3,,0.842,,,,,
576,37,4.1,,0.838,,,,,
577,37,4.2,,0.819,,,,,
578,37,7.2,,0.81,,,,,
579,37,3.7,,0.806,,,,,
580,37,7.4,,0.804,,,,,
581,37,4.5,,0.803,,,,,
582,37,4.5,,0.797,,,,,
583,37,9.0,,0.785,,,,,
584,37,5.6,,0.784,,,,,
585,37,6.4,,0.775,,,,,
586,37,2.4,,0.767,,,,,
587,37,4.9,,0.76,,,,,
588,37,5.0,,0.757,,,,,
589,37,4.7,,0.757,,,,,
590,37,7.6,,0.742,,,,,
591,37,3.1,,0.737,,,,,
592,37,5.5,,0.71,,,,,
593,37,3.0,,0.683,,,,,
594,38,6.5,,0.847,,,,,
595,38,6.9,,0.844,,,,,
596,38,10.5,,0.829,,,,,
597,38,10.3,,0.817,,,,,
598,38,5.9,,0.812,,,,,
599,38,5.4,,0.806,,,,,
600,38,5.5,,0.788,,,,,
601,38,6.1,,0.781,,,,,
602,38,1.9,,0.768,,,,,
603,38,6.8,,0.752,,,,,
604,38,9.2,,0.75,,,,,
605,38,10.9,,0.732,,,,,
606,38,6.8,,0.708,,,,,
607,38,2.7,,0.697,,,,,
608,38,3.5,,0.678,,,,,
609,38,4.9,,0.671,,,,,
610,38,6.5,,0.633,,,,,
611,38,7.9,,0.624,,,,,
612,38,5.5,,0.618,,,,,
613,38,4.5,,0.601,,,,,
